player_id,player_name,player_team,role_classic,role_mantra,role_fantastats
5812,Terracciano F.,Cremonese,D,Dd;Ds;E,T
7236,Toniolo,Verona,P,Por,POR
7301,Tornqvist,Como,P,Por,POR
7146,Tourè I.,Pisa,C,E;M,C;T
7317,Trepy,Cagliari,A,Pc,ATT
7235,Troilo,Parma,D,Dc,DC
5168,Tsimikas,Roma,D,Ds;E,T
5307,Valenti,Parma,D,Dc,DC
6957,Valentini N.,Verona,D,Dc,DC
7133,Vandeputte,Cremonese,C,W;T,ES;Tq
2499,Vardy,Cremonese,A,Pc,ATT
6981,Vaz,Roma,A,Pc,ATT
6980,Venturino,Roma,C,W,ES
7223,Vergara,Napoli,C,W;T,ES;Tq
7368,Vermesan,Verona,A,Pc,ATT
2809,Vigorito,Como,P,Por,POR
7068,Vitik,Bologna,D,Dc,DC
4994,Vojvoda,Como,D,Dd;E,T
5610,Vranckx,Sassuolo,C,M;C,C
7181,Wesley,Roma,D,E,T
6434,Yildiz,Juventus,A,A,ATT
6575,Zaragoza,Roma,C,W;A,ATT;ES
7335,Zatterstrom,Genoa,D,Dc,DC
7169,Zelezny,Roma,P,Por,POR
5998,Zerbin,Cremonese,C,E;W,ES;T
152,Zielinski,Inter,C,C;T,C;Tq
7260,Ziolkowski,Roma,D,Dc,DC
